08-06 20:34:07 [INFO] - Campaign '千里狙殺' loaded successfully   (omobab 87)
08-06 20:34:07 [INFO] - Hero: 雜賀孫市 - 千里狙擊手   (omobab 88)
08-06 20:34:07 [INFO] - Total stages: 3   (omobab 89)
08-06 20:34:07 [INFO] - Total abilities: 9   (omobab 90)
08-06 20:34:07 [INFO] - tcp://localhost:1883   (omobab 97)
08-06 20:34:08 [WARN] - 地形高度圖載入失敗，使用後備視野系統   (omobab::comp::state 223)
08-06 20:34:08 [INFO] - Initializing campaign data for: 千里狙殺   (omobab::comp::state 231)
08-06 20:34:08 [INFO] - Loading hero: 雜賀孫市 - 千里狙擊手   (omobab::comp::state 237)
08-06 20:34:08 [INFO] - Loading ability: 雜賀眾 (E)   (omobab::comp::state 245)
08-06 20:34:08 [INFO] - Loading ability: 隕石衝擊 (R)   (omobab::comp::state 245)
08-06 20:34:08 [INFO] - Loading ability: 狙擊模式 (W)   (omobab::comp::state 245)
08-06 20:34:08 [INFO] - Loading ability: 三段 (T)   (omobab::comp::state 245)
08-06 20:34:08 [INFO] - Loading ability: 冰霜攻擊 ()   (omobab::comp::state 245)
08-06 20:34:08 [INFO] - Loading ability: 致命一擊 ()   (omobab::comp::state 245)
08-06 20:34:08 [INFO] - Loading ability: 火球術 (W)   (omobab::comp::state 245)
08-06 20:34:08 [INFO] - Loading ability: 雨鐵炮 (R)   (omobab::comp::state 245)
08-06 20:34:08 [INFO] - Loading ability: 寒冰箭 (Q)   (omobab::comp::state 245)
08-06 20:34:08 [INFO] - Loading enemy: 訓練法師 (training_mage)   (omobab::comp::state 253)
08-06 20:34:08 [INFO] - Loading enemy: 火焰法師 (fire_mage)   (omobab::comp::state 253)
08-06 20:34:08 [INFO] - Loading enemy: 大法師 (archmage_boss)   (omobab::comp::state 253)
08-06 20:34:08 [INFO] - Loading stage: 遠距補刀 (S0)   (omobab::comp::state 265)
08-06 20:34:08 [INFO] - Loading stage: 基準試煉 (S1a)   (omobab::comp::state 265)
08-06 20:34:08 [INFO] - Loading stage: 最終火力網 (S5)   (omobab::comp::state 265)
08-06 20:34:08 [INFO] - Campaign initialization completed   (omobab::comp::state 268)
08-06 20:34:08 [INFO] - Creating campaign scene for: 千里狙殺   (omobab::comp::state 308)
08-06 20:34:08 [INFO] - Setting up training scene for sniper practice   (omobab::comp::state 325)
08-06 20:34:08 [INFO] - Created hero entity '雜賀孫市' with full combat components   (omobab::comp::state 382)
08-06 20:34:08 [INFO] - Created ability '狙擊模式' and skill instance for hero   (omobab::comp::state 454)
08-06 20:34:08 [INFO] - Created ability '雜賀眾' and skill instance for hero   (omobab::comp::state 454)
08-06 20:34:08 [INFO] - Created ability '雨鐵炮' and skill instance for hero   (omobab::comp::state 454)
08-06 20:34:08 [INFO] - Created ability '三段' and skill instance for hero   (omobab::comp::state 454)
08-06 20:34:08 [INFO] - Created training enemy unit '訓練法師' at position (800, 0)   (omobab::comp::state 508)
08-06 20:34:08 [INFO] - Created training enemy unit '火焰法師' at position (1000, 100)   (omobab::comp::state 508)
08-06 20:34:08 [INFO] - Created training enemy unit '大法師' at position (1200, -50)   (omobab::comp::state 508)
08-06 20:34:08 [INFO] - Created training creep unit '練習假人' at position (600, 50)   (omobab::comp::state 552)
08-06 20:34:08 [INFO] - Created training creep unit '移動靶' at position (1500, 0)   (omobab::comp::state 552)
08-06 20:34:08 [INFO] - Created training creep unit '訓練小兵' at position (1300, 150)   (omobab::comp::state 552)
08-06 20:34:08 [INFO] - Terrain blockers creation skipped (old system), will be implemented in new circular vision system   (omobab::comp::state 579)
08-06 20:34:08 [INFO] - MQTT 測試介面管理器已創建   (omobab::mqtt::test_interface 97)
08-06 20:34:08 [INFO] - MQTT 測試介面已啟動，監聽主題 ability_test/command   (omobab 108)
08-06 20:34:08 [INFO] - MQTT 測試介面已連接到 localhost:1883   (omobab::mqtt::test_interface 139)
08-06 20:34:09 [INFO] - ⚔️ 雜賀孫市 攻擊 訓練法師 | Phys 44.5 damage | HP: 320.0 → 275.5/320.0   (omobab::comp::state 1000)
08-06 20:34:10 [INFO] - ⚔️ 雜賀孫市 攻擊 訓練法師 | Phys 44.5 damage | HP: 275.5 → 231.0/320.0   (omobab::comp::state 1000)
08-06 20:34:11 [INFO] - ⚔️ 雜賀孫市 攻擊 訓練法師 | Phys 44.5 damage | HP: 231.0 → 186.5/320.0   (omobab::comp::state 1000)
08-06 20:34:12 [INFO] - ⚔️ 雜賀孫市 攻擊 訓練法師 | Phys 44.5 damage | HP: 186.5 → 142.0/320.0   (omobab::comp::state 1000)
08-06 20:34:13 [INFO] - ⚔️ 雜賀孫市 攻擊 訓練法師 | Phys 44.5 damage | HP: 142.0 → 97.5/320.0   (omobab::comp::state 1000)
08-06 20:34:13 [INFO] - ⚔️ 雜賀孫市 攻擊 訓練法師 | Phys 44.5 damage | HP: 97.5 → 53.0/320.0   (omobab::comp::state 1000)
08-06 20:34:14 [INFO] - ⚔️ 雜賀孫市 攻擊 訓練法師 | Phys 44.5 damage | HP: 53.0 → 8.5/320.0   (omobab::comp::state 1000)
08-06 20:34:15 [INFO] - ⚔️ 雜賀孫市 攻擊 練習假人 | Phys 45.0 damage | HP: 50.0 → 5.0/50.0   (omobab::comp::state 1000)
08-06 20:34:16 [INFO] - ⚔️ 雜賀孫市 攻擊 練習假人 | Phys 45.0 damage | HP: 5.0 → -40.0/50.0   (omobab::comp::state 1000)
08-06 20:34:16 [INFO] - 💀 練習假人 died from damage!   (omobab::comp::state 1007)
08-06 20:34:16 [INFO] - Unit '練習假人' died at position (600.0, 50.0)   (omobab::tick::death_tick 61)
08-06 20:34:16 [INFO] - Hero would receive 5 gold for killing '練習假人'   (omobab::tick::death_tick 163)
08-06 20:34:17 [INFO] - ⚔️ 雜賀孫市 攻擊 訓練法師 | Phys 44.5 damage | HP: 8.5 → -36.0/320.0   (omobab::comp::state 1000)
08-06 20:34:17 [INFO] - 💀 訓練法師 died from damage!   (omobab::comp::state 1007)
08-06 20:34:17 [INFO] - Unit '訓練法師' died at position (800.0, 0.0)   (omobab::tick::death_tick 61)
08-06 20:34:17 [INFO] - Hero would receive 45 gold for killing '訓練法師'   (omobab::tick::death_tick 163)
08-06 20:34:17 [INFO] - Hero '雜賀孫市' gained 80 experience   (omobab::comp::state 1039)
